author|flightDate|flightFromCity|flightToCity|flightType|flightClass|mark|title|text
tittiecarlo|marzo 2020|Malé|Milano|Internazionali|Economy|5.0|Volare Alitalia senza problemi|Volo puntuale, l'ultimo volo Alitalia per Milano prima della chiusura totale causa COVID. Veivolo pulitissimo, personale gentile e sempre disponibile . abbiamo viaggiato nei posto a due senza nessuno davanti, comodi. Pasti discreti. Il volo è arrivato puntuale a destinazione e senza disagi nonostante fosse pieno.
Emanuela DNP|marzo 2020|Buenos Aires|Napoli|Internazionali|Business|5.0|Bravissimi|Bravissimi!!! Emergenza Corona Virus 🦠, Tutte le compagnie aeree hanno dato uno stop ai voli ✈️ Alitalia sta riportando tutti gli italiani in patria! Sono una dei tanti... con un biglietto per il 26 marzo e l’Argentina che aveva dichiarato lo stop ai voli da è per l’Italia, ieri sono corsa in aeroporto per cercare di tornare a casa! ( ero partita prima che l’emergenza scoppiasse..!!) dopo alcune ore veramente terribili in aeroporto in cui ho creduto di dover essere rimpatriata dall’unita di crisi, finalmente all’ultimo secondo un minuto prima della partenza sono stata imbarcata sul volo diretto per Roma!!! Non so descrivere quanto sia stato piacevole e quanto io abbia apprezzato l’accoglienza ospitale e calorosa ricevuta a bordo! Il personale di volo attento e cordiale, ha svolto il servizio con grande professionalità ma anche con fare amichevole, proprio di noi italiani, che è quello che mi ha spinto a fare questa recensione. Appena salita a bordo mi sono sentita finalmente a casa ed in luogo sicuro!! Grazie Alitalia, grazie a tutto il personale che si sta adoperando per riportarci a casa!!! Ricordiamoci di questo quando tutto sarà passato, e finalmente potremo ricominciare a spostarci senza paura!!!
18giony|marzo 2020|Roma|Parigi|Europa|Economy|2.0|Volo di transito|Un servizio scarso mi aspettavo molto di più essendo di stato.un servizio scarso e quasi inesistente. Poi ho capito perché eravamo in pochi a bordo
Ambra A|marzo 2020|Bologna|Catania|Nazionali|Economy|2.0|SERVIZIO CLIENTI PESSIMO|Alitalia è una buona compagnia aerea ma il servizio clienti è pessimo anzi più che pessimo, capisco la situazione critica di questo momento e le innumerevoli richieste che devono gestire, però invece di mettere solo due numeri per parlare con il servizio clienti potrebbero attivare un servizio online o anche una semplice email dove poterli contattare, io ho provato a chiamare il numero verde per giorni interi senza alcun riscontro, inoltre ho chiamato il servizio clienti a pagamento ma anche lì ho speso solo 5 euro di traffico per l'attesa, non so più con quale mezzo poterli contattare per un semplice rimborso, dovrò spendere di traffico tanto quanto il costo del biglietto aereo?
Alfiozappala132|aprile 2019|Roma|Catania|Nazionali|Economy|5.0|compagnia eccezionale|mi sono trovato bene personale gentilissimo professionale preparato Alitalia sa far davvero rilassare sono contento di aver viaggiato con Alitalia la consiglio perché il servizio clienti e pronto ad aiutare le persone
velvet54|febbraio 2020|Roma|Buenos Aires|Internazionali|Business|5.0|Ottimo volo|Compagnia con una grande tradizione di elevato comfort a bordo anche per la classe economica. Cibo di qualità trattato con grande maestria e degno di un ristorante stellato. Equipaggio disponibile e intrattenimento con tanta scelta, anche per i bambini.
Gavroche464|dicembre 2019|Milano|Bari|Nazionali|Economy|5.0|Orgoglio italiano, ma.|Il mio primo viaggio aereo, a Johannesburg, oltre 10.000 kilometri ad elica (una ventina di ore). Allora, quasi 70 anni fa, avvertivo un modesto senso di avventura, in Congo sosta di un paio d'ore, tutti seduti a un tavolone, grandi vassoi con cibi ancora rari in Europa, come certa frutta, a me milanese del tutto sconosciuta. A questo senso di modesta avventura contribuiva anche molto la mia sacrosanta fifa. E oggi? Non più fifa. Alitalia campione di puntualità, aranciatina tutto quanto offerto ai passeggeri (ricordo allora pranzi da strozzarti in voli di un'ora), personale cortese, sedili comodi . Non sono d'accordo per le divise, non so da chi disegnate, ma che trovo brutte. Conclusione: voleremmo Alitalia, se il futuro ce lo permettesse.
Lorenzo C|NULL|Milano|Tokyo|Internazionali|Premium Economy|5.0|La classe italiana|Volo di andata e di ritorno ineccepibili. Lo spazio non è elevatissimo ma sufficiente. Il confort assicurato. Ampia scelta di intrattenimento, dotazioni tecnologiche efficienti, menu vario e di buon livello, personale disponibile e gentile. Pulizia, temperatura e qualità dell'aria eccellenti. Naturalmente i voli sono stati puntualissimi.
Cristiano G|marzo 2020|New York City|Milano|Internazionali|Economy|2.0|Un volo Alitalia dopo diversi anni|Per anni ho volato quasi solo con Alitalia: una media di 35-50 tratte all’anno di cui un terzo/metà intercontinentali. Volavo con la compagnia di bandiera perché da italiano ci tengo a salvaguardare ed a valorizzare le nostre eccellenze. Pian piano ho visto il servizio peggiorare: dalla qualità del cibo, alla qualità dell’intrattenimento a bordo (ormai dire obsoleto è fargli un complimento) alla sempre pessima qualità dell’imbarco (per quale motivo non può funzionare come in tutte le altre compagnie aeree del globo?!?). La goccia che ha fatto traboccare il vaso è la stata la pessima gestione della scadenza delle miglia, alcuni anni fa: impossibile ordinare nulla su Millemiglia gallery ed altamente improbabile trovare una tratta con le proprie miglia, così stoicamente guadagnate. Da un paio d’anni ho quindi cambiato vettore (Delta) e carta di credito in modo da non accumulare più, in nessun modo, le miglia Alitalia. Purtroppo per causa Coronavirus Delta mi ha ricollocato su un volo Alitalia ed ho quindi riprovato gli “antichi splendori”... Purtroppo la situazione è ancora peggiorata. Non consiglio Alitalia, ma la ringrazio per avermi portato a casa in un momento in cui nessuno voleva volare verso l’Italia. P.S. trovate un modo per far spendere le Miglia Alitalia ai clienti in modo più agevole.
Lucio Oieni|maggio 2019|Roma|Buenos Aires|Internazionali|Business|5.0|ELEGANZA SENZA PARI|La classe business di Alitali corrisponde alla prima classe di tante altre compagnie. Quindi il rapporto qualità prezzo veramente conveniente. Ottima la poltrona letto, professionale il personale e il miglior cibo del mondo .
